|CHO|Workgroup|InsurerClaimOwner|DateInvoiceWasUploaded|OriginalTotalToPayAmount|SettledAmount|DateclaimmovedtoInvoicePaymentLogged|DaysToPayclaim|NooftimesclaimwentintoContestedInvoiceReferredToInsurer|NooftimesclaimwentintoContestedInvoiceReferredToCHO|OriginalHireGross|CurrentHireGross|OriginalRepairGross|CurrentRepairGross|OriginalEngineerFeeGross|CurrentEngineerFeeGross|OriginalTotalLossFeeGross|CurrentTotalLossFeeGross|OriginalStorageRecoveryGross|CurrentStorageRecoveryGross|OriginalHireDays|CurrentHireDays|TotalPenaltyChargeAmount|InvoiceSavingRule|BREfailures,,,,,,,,,,,,,
0|3|2|41|26/08/2015 15:53|2015.45|2156.38|25/09/2015 06:13|29.6|1.0|1.0|920.41|920.41|1035.04|1035.04|60|60|0.0|0.0|0.0|0.0|7|7|140.93||049,90,,,,,,,,,,,,
1|0|1|9|19/06/2015 16:40|4230.44|4230.44|03/07/2015 06:50|13.6|||4230.44|4230.44|0.0|0.0|0|0|0.0|0.0|0.0|0.0|42|42|0.0||003,7,44,65,,,,,,,,,,
2|3|1|17|15/06/2015 15:35|600.85|600.85|17/06/2015 06:34|1.6|||600.85|600.85|0.0|0.0|0|0|0.0|0.0|0.0|0.0|13|13|0.0||040,,,,,,,,,,,,,
3|5|1|37|02/10/2015 16:37|2893.9|2869.9|07/10/2015 06:16|4.6|||2403.9|2379.9|0.0|0.0|60|60|0.0|0.0|430.0|430.0|25|25|0.0||003,22,87,25,,,,,,,,,,
4|3|1|17|01/09/2015 16:02|464.4|1390.27|25/09/2015 06:59|23.6|1.0|1.0|0.0|1390.27|0.0|0.0|60|0|0.0|0.0|327.0|0.0|0|22|0.0||001,3,21,999,90,,,,,,,,,
5|3|1|17|09/07/2015 09:41|2441.42|2441.42|14/07/2015 06:46|4.9|||2441.42|2441.42|0.0|0.0|0|0|0.0|0.0|0.0|0.0|56|56|0.0||001,3,7,40,21,999,,,,,,,,
6|3|1|6|20/10/2015 17:12|586.48|586.48|28/10/2015 07:05|7.6|||586.48|586.48|0.0|0.0|0|0|0.0|0.0|0.0|0.0|12|12|0.0||027,,,,,,,,,,,,,
7|5|1|37|22/10/2015 16:41|2105.98|1508.27|28/10/2015 07:13|5.6|1.0|1.0|1577.98|1508.27|0.0|0.0|0|0|0.0|0.0|0.0|0.0|22|21|0.0|56.0|055,12,3,56,,,,,,,,,,
8|3|1|68|05/10/2015 18:14|60.0|60.0|07/10/2015 06:22|1.5|||0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||090,,,,,,,,,,,,,
9|7|2|22|26/10/2015 11:16|285.6|285.6|11/11/2015 05:38|15.8|||44.4|44.4|0.0|0.0|60|60|0.0|0.0|181.2|181.2|1|1|0.0||086,,,,,,,,,,,,,
10|3|1|37|10/08/2015 15:52|0.0|1462.98|16/10/2015 06:15|66.6|1.0|1.0|1219.15|1219.15|0.0|0.0|0|0|0.0|0.0|0.0|0.0|24|24|243.83||003,,,,,,,,,,,,,
11|3|1|9|15/10/2015 10:38|357.53|357.53|28/10/2015 07:08|12.9|||357.53|357.53|0.0|0.0|0|0|0.0|0.0|0.0|0.0|7|7|0.0||056,,,,,,,,,,,,,
12|3|1|6|08/10/2015 15:53|974.41|974.41|29/10/2015 06:43|20.6|||974.41|974.41|0.0|0.0|0|0|0.0|0.0|0.0|0.0|19|19|0.0||056,,,,,,,,,,,,,
13|3|2|13|12/06/2015 11:36|1871.33|1715.99|03/07/2015 07:00|20.8|1.0|1.0|836.7|681.36|974.63|974.63|60|60|0.0|0.0|0.0|0.0|15|12|0.0|40.0|040,41,90,,,,,,,,,,,
14|3|2|67|20/10/2015 17:10|699.3|699.3|28/10/2015 07:11|7.6|||699.3|699.3|0.0|0.0|0|0|0.0|0.0|0.0|0.0|10|10|0.0||056,,,,,,,,,,,,,
15|3|2|67|30/07/2015 15:18|637.82|765.38|16/10/2015 06:17|77.6|||637.82|637.82|0.0|0.0|0|0|0.0|0.0|0.0|0.0|13|13|127.56||040,,,,,,,,,,,,,
